"Month","VHT","ToD","Agents","CallsOffered","CallsAbandoned","CallsHandled","ASA","Avehandletime"
"Dec-Jan","Off","morning","26","172","3","169","0.58","4.5"
"Dec-Jan","Off","evening","12","59","1","58","0.18","6.1"
"Dec-Jan","Off","evening","10","72","0","72","0.18","4.5"
"Dec-Jan","Off","evening","12","82","6","76","1.95","4.9"
"Dec-Jan","On","afternoo","27","179","0","179","0.00","4.5"
"Dec-Jan","On","evening","6","39","0","39","0.00","3.8"
"Dec-Jan","On","afternoo","30","177","0","177","0.00","5.1"
"Dec-Jan","On","evening","15","86","0","86","0.00","5.1"
"Dec-Jan","On","afternoo","30","204","0","204","0.15","4.5"
"Dec-Jan","Off","evening","9","43","0","43","0.00","5.8"
"Dec-Jan","On","morning","8","59","0","59","0.00","4.4"
"Dec-Jan","Off","evening","11","126","35","91","5.45","4.9"
"Dec-Jan","Off","evening","9","88","19","69","7.43","5.8"
"Dec-Jan","Off","evening","8","46","0","46","0.00","4.7"
"Dec-Jan","Off","morning","26","147","0","147","0.00","5.5"
"Dec-Jan","Off","evening","9","46","0","46","0.20","6.0"
"Dec-Jan","Off","morning","37","219","2","217","0.15","5.2"
"Dec-Jan","On","evening","11","54","0","54","0.00","6.5"
"Dec-Jan","Off","afternoo","6","40","0","40","0.00","4.2"
"Dec-Jan","Off","afternoo","35","220","0","220","0.00","4.8"
"Dec-Jan","Off","evening","12","84","1","83","0.35","4.3"
"Dec-Jan","On","afternoo","37","213","0","213","0.00","5.2"
"Dec-Jan","Off","evening","12","72","2","70","0.93","4.9"
"Feb-Mar","Off","afternoo","37","189","0","189","0.00","5.7"
"Feb-Mar","Off","evening","12","67","2","65","0.28","5.1"
"Feb-Mar","Off","afternoo","34","163","0","163","0.00","6.3"
"Feb-Mar","On","evening","7","39","0","39","0.17","5.6"
"Feb-Mar","Off","afternoo","23","136","0","136","0.00","5.0"
"Feb-Mar","On","evening","9","55","0","55","0.00","5.0"
"Feb-Mar","On","afternoo","9","64","0","64","0.00","4.3"
"Feb-Mar","On","evening","8","144","62","82","19.33","5.7"
"Feb-Mar","On","afternoo","28","259","0","259","0.00","3.3"
"Feb-Mar","On","evening","6","94","25","69","9.87","4.7"
"Feb-Mar","On","afternoo","25","147","0","147","0.00","5.2"
"Feb-Mar","Off","evening","9","58","1","57","0.20","5.1"
"Feb-Mar","Off","afternoo","32","178","1","177","0.05","5.6"
"Feb-Mar","Off","evening","6","31","0","31","0.00","4.8"
"Feb-Mar","On","afternoo","29","168","0","168","0.00","5.2"
"Feb-Mar","Off","evening","14","72","3","69","0.93","6.0"
"Feb-Mar","On","morning","30","169","0","169","0.00","5.3"
"Feb-Mar","Off","afternoo","25","140","0","140","0.00","5.2"
"Feb-Mar","Off","evening","6","45","0","45","0.00","4.3"
"Feb-Mar","Off","morning","31","165","0","165","0.00","5.5"
"Feb-Mar","Off","afternoo","20","109","0","109","0.00","5.6"
"Feb-Mar","Off","evening","9","43","0","43","0.00","5.9"
"Feb-Mar","On","morning","33","191","0","191","0.00","5.0"
"Feb-Mar","Off","afternoo","26","151","0","151","0.00","5.1"
"Feb-Mar","Off","evening","5","35","0","35","0.00","4.4"
"Feb-Mar","Off","morning","9","48","1","47","0.00","5.8"
"Feb-Mar","Off","morning","32","185","0","185","0.02","5.0"
"Feb-Mar","On","afternoo","26","136","0","136","0.00","5.6"
"Feb-Mar","On","evening","7","45","0","45","0.00","4.9"
"Feb-Mar","On","evening","12","93","9","84","2.65","4.0"
"Feb-Mar","On","afternoo","27","161","0","161","0.00","5.1"
"Feb-Mar","On","evening","14","70","0","70","0.02","5.7"
"Feb-Mar","On","morning","29","165","0","165","0.20","5.4"
"Feb-Mar","Off","afternoo","24","143","0","143","0.00","5.1"
"Feb-Mar","On","evening","10","67","0","67","0.12","5.0"
"Feb-Mar","Off","afternoo","6","49","0","49","0.00","3.8"
"Feb-Mar","Off","morning","35","224","2","222","0.58","4.9"
"Feb-Mar","Off","afternoo","33","180","1","179","0.00","5.7"
"Feb-Mar","Off","evening","10","60","0","60","0.18","5.2"
"Feb-Mar","On","morning","31","166","0","166","0.00","5.7"
"Feb-Mar","On","afternoo","40","243","1","242","0.12","5.0"
"Feb-Mar","Off","evening","13","61","2","59","1.03","6.6"
"Feb-Mar","On","afternoo","27","171","0","171","0.00","4.6"
"Feb-Mar","Off","evening","9","96","0","96","0.00","3.2"
"Feb-Mar","Off","evening","10","70","3","67","0.80","4.8"
"Feb-Mar","On","evening","9","56","0","56","0.20","5.0"
"Feb-Mar","On","afternoo","30","169","1","168","0.03","5.3"
"Feb-Mar","On","evening","10","57","0","57","0.02","5.3"
"Feb-Mar","On","afternoo","24","148","1","147","0.13","5.1"
"Feb-Mar","Off","evening","10","54","0","54","0.00","5.7"
"Feb-Mar","Off","morning","5","42","0","42","0.00","3.9"
"Feb-Mar","Off","morning","31","214","0","214","0.00","4.4"
"Feb-Mar","Off","afternoo","32","196","0","196","0.00","4.8"
"Feb-Mar","On","evening","12","87","5","82","3.23","4.9"
"Feb-Mar","Off","morning","24","159","0","159","0.00","4.5"
"Feb-Mar","On","afternoo","24","164","0","164","0.00","4.5"
"Feb-Mar","On","evening","10","65","1","64","0.47","4.9"
"Feb-Mar","On","morning","25","154","0","154","0.18","4.9"
"Feb-Mar","Off","afternoo","20","129","0","129","0.00","4.5"
"Feb-Mar","On","evening","11","81","0","81","0.05","4.2"
"Feb-Mar","On","morning","31","166","1","165","0.10","5.5"
"Feb-Mar","On","afternoo","27","153","0","153","0.00","5.2"
"Feb-Mar","Off","evening","11","69","2","67","1.38","5.0"
"Feb-Mar","On","morning","32","206","0","206","0.00","4.8"
"Feb-Mar","Off","evening","8","66","0","66","0.00","4.2"
"Feb-Mar","Off","morning","7","50","0","50","0.00","4.1"
"Feb-Mar","On","afternoo","6","32","0","32","0.00","5.3"
"Feb-Mar","Off","afternoo","27","181","0","181","0.00","4.6"
"Feb-Mar","Off","evening","9","53","0","53","0.12","5.0"
"Feb-Mar","Off","morning","25","164","0","164","0.00","4.6"
"Feb-Mar","Off","evening","7","53","0","53","0.20","4.4"
"Feb-Mar","On","morning","25","158","2","156","0.03","4.8"
"Feb-Mar","Off","afternoo","24","148","0","148","0.02","4.8"
"Feb-Mar","Off","evening","8","50","0","50","0.95","5.2"
"Feb-Mar","On","morning","27","153","0","153","0.00","5.1"
"Feb-Mar","Off","evening","12","77","0","77","0.08","4.4"
"Feb-Mar","Off","afternoo","22","134","0","134","0.00","4.9"
"Feb-Mar","On","evening","9","47","0","47","0.00","5.2"
"Feb-Mar","Off","afternoo","3","23","0","23","0.00","4.0"
"Feb-Mar","Off","afternoo","29","174","0","174","0.05","4.8"
"Feb-Mar","Off","evening","8","86","28","58","8.80","6.0"
"Feb-Mar","Off","afternoo","21","143","0","143","0.07","4.5"
"Feb-Mar","On","evening","10","68","8","60","4.45","5.4"
"Feb-Mar","On","afternoo","21","125","0","125","0.00","4.8"
"Feb-Mar","Off","evening","7","58","8","50","4.92","4.9"
"Feb-Mar","On","morning","20","140","0","140","0.02","4.2"
"Feb-Mar","Off","afternoo","24","149","0","149","0.00","5.0"
"Feb-Mar","Off","evening","6","74","23","51","10.32","5.8"
"Feb-Mar","Off","afternoo","20","132","0","132","0.03","4.4"
"Feb-Mar","Off","evening","5","36","0","36","0.00","4.5"
"Feb-Mar","On","evening","2","69","35","34","27.80","5.7"
"Oct-Nov","On","morning","16","192","37","155","13.50","5.4"
"Oct-Nov","On","morning","18","244","60","184","12.35","5.2"
"Oct-Nov","On","morning","31","228","10","218","1.68","4.3"
"Feb-Mar","On","morning","10","78","2","76","0.37","4.3"
"Feb-Mar","On","afternoo","7","53","1","52","0.33","4.5"
"Feb-Mar","On","morning","34","264","28","236","3.53","4.7"
"Feb-Mar","On","morning","36","235","10","225","1.08","4.9"
"Feb-Mar","On","afternoo","22","138","0","138","0.05","5.0"
"Feb-Mar","On","morning","10","62","2","60","0.20","4.6"
"Feb-Mar","On","morning","37","221","4","217","0.83","5.1"
"Feb-Mar","On","afternoo","26","153","1","152","0.22","5.2"
"Feb-Mar","On","afternoo","4","31","0","31","0.00","4.5"
"Feb-Mar","On","morning","25","259","5","254","0.38","2.9"
"Feb-Mar","On","afternoo","31","163","2","161","0.33","5.8"
"Feb-Mar","On","afternoo","29","160","1","159","0.20","5.4"
"Feb-Mar","On","morning","9","59","0","59","0.03","4.4"
